SYM,NAME,LAST,CHANGE,PERCENT,HIGH,LOW,VOLUME,TIME
AAON,Aaon Inc,24.19,+0.28,+1.17%,24.21,23.72,86513,11:14
AAT,American Assets Trust,39.67,+0.04,+0.10%,40.21,39.37,44738,11:14
AAWW,Atlas Air Worldwide Holdings,55.58,+0.99,+1.81%,55.79,54.68,337012,11:16
ABAX,Abaxis Inc,52.9,-0.03,-0.06%,53.03,52.78,77722,11:16
ABM,ABM Industries Incorporated,32.86,+0.47,+1.45%,33.3,32.05,115616,11:15
ABMD,Abiomed,61.05,+1.39,+2.33%,61.07,59.73,213632,11:16
ACAT,Arctic Cat Inc,32.65,+0.04,+0.12%,33.19,32.19,84302,11:15
ACET,Aceto Corp,23.97,+0.14,+0.59%,24.13,23.78,23568,11:16
ACI,Arch Coal,0.54,unch,unch,0.57,0.53,1905511,11:16
ACOR,Acorda Therapeutics,30.4,+0.41,+1.37%,30.64,29.66,192107,11:16
ADC,Agree Realty Corp,30.32,-0.17,-0.56%,30.55,30.2,59049,11:16
ADTN,Adtran Inc,16.91,-0.02,-0.12%,17.14,16.9,68353,11:15
AEC,Associated Estates Realty Corp,28.63,-0.07,-0.24%,28.67,28.63,145708,11:12
AEGN,Aegoin Corp,18.2,+0.11,+0.61%,18.27,17.9,33973,11:11
AEIS,Advanced Energy Industries,29.24,+0.07,+0.24%,29.28,28.9,52166,11:16
AEL,American Equity Investment Life,25.79,+0.30,+1.18%,25.89,25.45,172810,11:15
AF,Astoria Financial Corp,13.2,+0.16,+1.23%,13.25,13.07,89308,11:16
AFAM,Almost Family Inc,36.02,-2.54,-6.59%,38.6,36.02,119775,11:15
AFFX,Affymetrix,11.88,+0.22,+1.89%,11.91,11.66,126466,11:16
AGYS,Agilysys Inc,9.34,+0.22,+2.41%,9.34,9.28,1136,10:59
AHS,Amn Healthcare Services Inc,27.38,+0.77,+2.89%,27.6,26.56,203005,11:15
AIN,Albany International Corp,39.94,+0.08,+0.20%,40.15,39.46,57935,11:16
AIR,AAR Corp,30.34,+0.37,+1.23%,30.49,29.99,40526,11:14
AIRM,Air Methods Corp,41.88,+0.12,+0.29%,42.3,41.51,65058,11:14
AIT,Applied Industrial Technologies,42.73,+0.29,+0.68%,42.9,42.6,75476,11:12
AJRD,Gencorp Inc,20.79,+0.21,+1.02%,21.03,20.55,42080,11:16
AKR,Acadia Realty Trust,31.01,-0.28,-0.89%,31.44,30.88,40911,11:14
AKS,AK Steel Holding Corp,5.66,+0.22,+4.04%,5.76,5.4,4628088,11:16
ALE,Allete Inc,49.58,-0.2,-0.40%,49.73,49.21,97040,11:15
ALGT,Allegiant Travel Company,160.64,+1.70,+1.07%,163.44,159,28107,11:13
ALOG,Analogic Corp,84.53,+0.43,+0.51%,84.59,83.66,7959,11:16
AMED,Amedisys Inc,32.88,+0.32,+0.98%,32.92,31.94,72628,11:16
AMRI,Albany Molecular Research,20,+0.03,+0.15%,20.13,19.6,730528,11:15
AMSF,Amerisafe Inc,43.3,+0.05,+0.12%,43.54,42.85,15287,11:14
AMSG,Amsurg Corp,69.31,+0.94,+1.37%,69.33,68.35,179229,11:16
AMWD,American Woodmark Corp,55.68,+1.85,+3.44%,56.19,54.3,79637,11:16
ANDE,The Andersons,42.47,-0.68,-1.58%,43.12,42.29,83499,11:16
ANGO,Angiodynamics,16.32,+0.24,+1.49%,16.35,16.14,8466,11:16
ANIK,Anika Therapeutics Inc,33.28,+0.13,+0.39%,33.51,33.09,32691,11:16
ANIP,ANI Pharmaceuticals Inc,51.57,+1.89,+3.80%,51.67,49.95,76003,11:16
APEI,American Public Education,24.59,+0.20,+0.82%,24.72,24.17,16297,11:11
APOG,Apogee Enterprises,55.94,+0.58,+1.05%,56.34,55.24,41413,11:13
ARCB,Arcbest Corp.,35.1,+0.31,+0.89%,35.51,34.53,118699,11:16
AREX,Approach Resources Inc,7.01,-0.06,-0.85%,7.21,6.94,129410,11:16
ARO,Aeropostale Inc,1.85,+0.04,+2.21%,1.86,1.78,943520,11:16
ASEI,American Science and Engineering,40.62,+0.85,+2.14%,40.88,39.65,15467,11:14
ASGN,On Assignment,38.3,+0.36,+0.95%,38.43,37.75,83971,11:16
ASTE,Astec Industries,41.99,+0.36,+0.86%,42.23,41.54,16148,11:16
ATNI,Atlantic Tele-Network,67.48,+1.03,+1.55%,67.59,66.49,4910,11:00
ATU,Actuant Corp,23.76,+0.20,+0.85%,23.89,23.43,74295,11:15
AVA,Avista Corp,31.31,-0.29,-0.92%,31.93,31.23,83894,11:15
AVAV,Aerovironment,26.54,+0.37,+1.41%,26.73,25.95,31786,11:16
AVD,American Vanguard Corp,14,-0.03,-0.21%,14.18,14,38798,11:15
AWR,American States Water Company,38.21,-0.38,-0.98%,38.66,38.16,25244,11:16
AXE,Anixter International Inc,69.18,+0.47,+0.68%,69.73,68.7,36076,11:16
AZZ,Azz Inc,49.45,+0.71,+1.46%,49.5,48.68,12872,11:13
B,Barnes Group,40.79,+0.51,+1.27%,40.95,40.26,20424,11:16
BABY,Natus Medical Inc,40.1,+0.40,+1.01%,40.22,39.49,53907,11:16
BANR,Banner Corp,45.45,+0.59,+1.32%,45.6,45.04,32659,11:15
BAS,Basic Energy Services,8.58,-0.36,-4.03%,8.95,8.57,1375161,11:16
BBCN,Bbcn Bancorp Inc,14.72,+0.19,+1.31%,14.76,14.51,126929,11:15
BBG,Bill Barrett Corp,9.51,+0.19,+2.04%,9.67,9.15,551751,11:16
BBOX,Black Box Corp,21.09,+0.45,+2.18%,21.16,20.7,9045,11:16
BCC,Boise Cascade L.L.C. Common ST,36.55,+0.45,+1.25%,36.69,36.16,40021,11:16
BCEI,Bonanza Creek Energy Inc,20.74,+0.06,+0.29%,21.14,20.25,259123,11:16
BCO,Brink's Company,32.64,+0.49,+1.52%,32.67,32.18,102999,11:15
BCOR,Blucora Inc,16.46,+0.46,+2.88%,16.46,16.04,78737,11:15
BCPC,Balchem Corp,58.44,+0.96,+1.67%,58.45,57.2,56942,11:09
BELFB,Bel Fuse Inc,21.74,+0.35,+1.64%,21.74,21.36,2713,11:11
BFS,Saul Centers,51.78,+0.06,+0.12%,51.78,50.98,3535,10:57
BGC,General Cable Corp,19.84,+0.84,+4.42%,20,18.99,518537,11:15
BGFV,Big 5 Sporting Goods Corp,14.44,+0.15,+1.05%,14.44,14.1,22548,11:16
BGG,Briggs & Stratton Corp,18.3,-0.2,-1.08%,18.67,18.28,171991,11:15
BGS,B&G Foods Holdings,30.29,+0.07,+0.23%,30.36,30.04,33872,11:15
BH,Biglari Holdings Inc,363.07,+1.01,+0.28%,366,361.72,3099,11:08
BHE,Benchmark Electronics,23.4,+0.25,+1.08%,23.44,23.13,39135,11:16
BJRI,Bj's Restaurants,47.15,+1.48,+3.24%,47.66,46.03,152101,11:16
BKE,Buckle Inc,43.76,+0.52,+1.20%,43.86,43.13,56854,11:16
BKMU,Bank Mutual Corp,7.18,+0.08,+1.13%,7.22,7.1,14397,11:10
BKS,Barnes & Noble,24.2,+0.21,+0.88%,24.29,23.96,98963,11:15
BLKB,Blackbaud Inc,51.85,+0.62,+1.21%,51.96,50.98,43050,11:15
BMI,Badger Meter,64.48,+0.92,+1.45%,64.63,63.28,6466,11:16
BOBE,Bob Evans Farms,46.4,+0.46,+1.00%,46.44,45.87,64221,11:16
BOFI,Bofi Holding,95.9,+1.32,+1.40%,96.25,94.61,36672,11:08
BPFH,Boston Private Financial Holdings,12.87,+0.18,+1.42%,12.93,12.72,85801,11:16
BRC,Brady Corp,25.15,+0.12,+0.48%,25.32,25,41743,11:16
BRKL,Brookline Bancorp,11.19,+0.15,+1.36%,11.22,11.02,43314,11:16
BRKS,Brooks Automation,11.76,unch,unch,11.84,11.65,20199,11:16
BRLI,Bio-Reference Laboratories,32.86,+0.31,+0.95%,33.1,32.48,11181,11:10
BRS,Bristow Group Inc,58.83,-0.42,-0.71%,59.37,58.02,39885,11:16
BYD,Boyd Gaming Corp,14.98,+0.16,+1.08%,15.15,14.83,337960,11:16
CACI,Caci International,86.88,+1.13,+1.32%,87.12,85.75,21333,11:15
CAL,Caleres Inc.,31.3,+0.19,+0.61%,31.39,30.81,67117,11:16
CALM,Cal-Maine Foods,56.18,-0.53,-0.93%,57.14,55.99,153454,11:16
CAMP,Calamp Corp,19.55,-0.02,-0.10%,19.87,19.42,416156,11:15
CAS,Castle [A.M.] & Co.,6.1,+0.17,+2.87%,6.18,5.93,59046,11:16
CASY,Caseys General Stores,87,-0.52,-0.59%,87.84,86.73,71989,11:15
CATM,Cardtronics Inc,37.16,+0.52,+1.42%,37.27,36.84,57487,11:15
CATO,Cato Corp,37.25,+0.30,+0.81%,37.45,36.86,44038,11:13
CBB,Cincinnati Bell Inc,3.65,+0.03,+0.83%,3.65,3.6,85296,11:16
CBK,Christopher & Banks Corp,5.59,-0.08,-1.41%,5.68,5.58,80990,11:12
CBM,Cambrex Corp,42.34,+1.88,+4.65%,42.44,40.43,199109,11:16
CBR,Ciber Inc,3.41,+0.07,+2.10%,3.44,3.36,8081,11:15
CBRL,Cracker Barrel Old Country Store,146.61,+0.06,+0.04%,147.88,145.46,138685,11:15
CBU,Community Bank System,36.16,+0.52,+1.46%,36.19,35.54,26842,11:16
CCC,Calgon Carbon Corp,21.12,+0.28,+1.34%,21.2,20.86,32766,11:15
CCMP,Cabot Microelectronics Corp,46.42,+0.05,+0.11%,46.74,45.95,30743,11:14
CCRN,Cross Country Healthcare,10.59,+0.14,+1.34%,10.78,10.44,23906,11:15
CDI,Cdi Corp,12.62,+0.04,+0.32%,12.74,12.46,6843,11:13
CDR,Cedar Shopping Centers Inc,6.69,-0.05,-0.74%,6.74,6.65,50237,11:16
CECO,Career Education Corp,3.84,-0.01,-0.26%,3.93,3.82,157964,11:14
CENTA,Central Garden & Pet Company,10.01,+0.09,+0.91%,10.14,9.86,16692,11:10
CENX,Century Aluminum Company,12.67,+0.46,+3.77%,12.78,12.07,911339,11:16
CEVA,Ceva Inc,20.59,+0.25,+1.23%,20.92,20.31,19667,11:13
CFNL,Cardinal Financial Corp,21.15,+0.39,+1.88%,21.18,20.75,14867,11:14
CGI,Celadon Group,22.96,+0.10,+0.44%,23,22.74,139387,11:16
CHCO,City Holding Company,46.75,+0.42,+0.91%,47,45.99,6377,11:14
CHE,Chemed Inc,124.69,+0.06,+0.05%,125,124.1,21672,11:14
CHSP,Chesapeake Lodging Trust,31.45,unch,unch,31.6,31.2,62983,11:14
CIR,Circor International,54.27,+0.82,+1.53%,54.56,53.39,14603,11:16
